lex,lex_arb,root,def,src,id,lex_uncorrected,pg,dialect,phon,Cv,sem,ref,pos,etym,lex_arb2,def_arb,measure,imalah
"wulem 2, yūlem 2 / yūlim 11,20, il-welm 9",,wlm,"[§ 4.6 example 1] of a lucerne- or grass-crop, ""to be ready for cutting"".",Brockett 1985,1735,,223,,,,,,vi,,,,I,
"twellem**, yitwellem 1",,wlm,"""to get ready quickly"", e.g. for a journey. twellem! banrūḥ 11 ""hurry up and get ready! we're off"".",Brockett 1985,1736,,223,,,,,,vi,,,,V,
"walli**, ywalli**",,wly,"""to turn away from"" (W), as in ḫallih! wallih! 6,11,19 ""let it alone! leave it!"" This phrase can attenuate into an adj. meaning ""worthless, no good"".",Brockett 1985,1737,,223,,,,,,vt,,,,II,
"winn, ywinn 22*",,wnn,"""to groan"", of a goat.",Brockett 1985,1738,,223,,,,,"R 187; W anna; H ""... to grumble, complain (Syrian)"".",vi,,,,I,
"twanna, yitwanna** 17",,wny,"""to be late"". A bedu word.",Brockett 1985,1739,,223,,,,,"R 229 teénne, 234 VI twāne; W taʔannā; L 3061 VI ""to be languid, remiss ... flag"".",vi,,,,V,
"wahar, yūhar 1,17*",,whr,"of plants, ""to choke/die from overcrowding"".",Brockett 1985,1740,,223,,,,,,vi,,,,I,
"wahhar**, ywahhir** 3",,whr,"=+ ʕale of weeds, ""to crowd out"" a crop. = [1156].",Brockett 1985,1741,,223,,,,,"H I, II ""to throw so. into an inextricable difficulty ...""",vi,,,,II,
"stawhar**, yistawhar?**",,whr,= I.,Brockett 1985,1742,,223,,,,,,vi,,,,X,
"wahrān 1,17*",,whr,"""choked, overcrowded"", of plants.",Brockett 1985,1743,,223,,,,,,adj,,,,,ā > ā
"wayy 6 / wayg 8,12,17",,wyg,"[910c] ""a wooden piece"" held in a gāzra-ox-walker's crooked arm. Not wayl, as in Wilkinson 73.",Brockett 1985,1744,,224,,,,,"Jb 879 ""yoke"".",n,,,,,
"wāyr, pl. -āt 13*,17",,wyr,"""a wire"".",Brockett 1985,1745,,224,,,,,[797]; English.,n,,,,,-
"wayš 5,9,11",,wyš,"[§ 4.6 example 37]; [1231] interrogative/relative pronoun ""which?/which"". wayš il-ḥāl? 20 ""how are you?""",Brockett 1985,1746,,224,,,,,[42]; [1653],interr,,,,,
wayn 17,,wyn,"""where?/where"". Less common than hayn [1656].",Brockett 1985,1747,,224,,,,,Ja 651; H Syrian.,interr,,,,,
"yitāg 1,3 / yitāq 17, pl. yituq 17",,ytq,"""a side-opening"" in an irrigation-channel, lined with palm-fibre or cement, into which the miradd [588] fits. kill gelba fī-hē yitāq wāḥid 17 ""every plot has one irrigation-inlet"".",Brockett 1985,1748,,224,,,,,,n,,,,,check lex
"yid 1,22 / yed 7*,11*,17 / īd 26",,yd,"[1480]; [1375] [a] of animals, ""a lower fore/hind-leg"". [b] of humans, ""a forearm, a hand"".",Brockett 1985,1749,,224,,,,,"[a] W ""... foreleg ..."" [b] [688]; W ""... hand ...""; L 3063 ""forearm ...""",n,,,,,
"īrīn, pl. īraynēt 1",,yryn,"""a woman's long earrings"".",Brockett 1985,1750,,224,,,,,"English? If so, not a new loan; for yārīn see [1288].",n,,,,,check lex ē
"yassar**, yyassir?**, it-taysīr 1,",,ysr,"myessra 13*,17*,25* act.pt. f. Of a she-camel, [a] 13*,25* ""noisily to want the male"". [b] 1,17* ""to be successfully served"".",Brockett 1985,1751,,224,,,,,"[a] [128]; W ""... to facilitate"". [b] L 2976 of animals ""... to bring forth or be ready to ...""",vi,,,,II,
"tyesser, yityesser**",,ysr,"= I [b]. tyesseret in-nāge 1 ""the she-camel conceived"".",Brockett 1985,1752,,225,,,,,"[893a]; R 201 ""to become rich""; W ""... to succeed, thrive ...""",vi,,,,V,
yil 5,,yl,"variant of il [23a]. ""to have"". li-gmāl yilhe aṣal 16 ""camels have class""; mā yilluh waqt mḥaddad 21 ""[cassava] doesn't have a specific [planting-]time"".",Brockett 1985,1753,,225,,,,,,prep,,,,,
"yom 2,14,23",,ywm,"[1626]; [§ 4.6 example 21]; [206a] ""when"".",Brockett 1985,1754,,225,,,,,,adv,,,,,
yomiyya,,ywm,"""daily"". fil-yomiyya 25 ""every day"".",Brockett 1985,1755,,225,,,,,"[1592]; W ""... daily task ...""",n,,,,,
ʕibǣ,,,a woman's black over-garment (?),Brockett 1985,1757,,225,,,,,,n,,,,,
rukǣb,,,"(pl.) riding camels. šellitna r-rukǣb ʕUmān 21 ""the riding-camels took us up to Oman"".",Brockett 1985,1758,,225,,,,,,n,,,,,
qwǣlib,,,(pl.) moulds,Brockett 1985,1759,,225,,,,,,n,,,,,
nāge,,,she-camel,Brockett 1985,1760,,225,,,,,,n,,,,,
"simēd 21, samǣd 25",,,"manure, fertiliser.",Brockett 1985,1761,,225,,,,,,n,,,,,
hinēk,,,there,Brockett 1985,1762,,225,,,,,,adv,,,,,
waddar | yawaddar,وَدَّر,,"Abandon, v. t.",Jayakar 1889b,1,,,,,,,,,"A. Probably from ودع in the sense of abandoning, ر being substituted for ع. In دفر and دسر a similar substitution takes place. حَمُوه وَدَّرْت اَلشُّغْل = Why did you leave the business?",يَوَدَّر,تَرَك,,
rām | yarūm,رَام,,"Able, To be",Jayakar 1889b,2,,,,,,,,,"A. رَام = He sought, desired, attempted, etc.
اَنَامَا اَرُوْم آجِي = I am not able to come.",يَرُوّم,قَدَر,,
tagaddud,تَجَدُّد,,"Ablution, n.",Jayakar 1889b,3,,,,,,,,,A. تجدّد in the sense of becoming new.,,وَضُو,,
zannā | yuzannī,زَنَّى,,"Abuse, v. t. (to vilify)",Jayakar 1889b,4,,,,,,,,,A. زَنَّي = He called (him) an adulterer or imputed to him) adultery. اِنْتَ زَنَّيْتُ = You abused him.,يُزَني,شَتَم,,
zinnā,زِنَّا,,"Abuse, n.",Jayakar 1889b,5,,,,,,,,,Same as above.,,شَتْم,,
ṭāʕ | yaṭīʕ,طَاع,,"Accede, v.i. (to be willing)",Jayakar 1889b,6,,,,,,,,,A. طَاع = He obeyed.,يَطِيع,رَضَى,,
rābaʕ | yarābaʕ,رَابَع,,"Accompany, v. t.",Jayakar 1889b,7,,,,,,,,,A. From رَابَعه = He took hold of his hand. خَلِّي الخَادِم يَرَابَعْه = Let the slave accompany him.,يَرَابَع,صَحَب,,
manšūd,مَنْشوُد,,"Accountable, a. (responsible)",Jayakar 1889b,8,,,,,,,,,Omanee A. نَشَد = He asked.,,مسْول,,
ẓawwal | yaẓawwal,ظَوَّل,,"Accumulate, v. t.",Jayakar 1889b,9,,,,,,,,,فُلَان مُظَوَّل اَلْغَوَازِي مِن هَذَا الشُّغْل = So and so has accumulated a fortune from this business.,يَظَوَّل,جَمَع,,
wākid,وَاكِد,,"Accurate, a. (correct)",Jayakar 1889b,10,,,,,,,,,"A. from وَكد in the sense of confirming. مُوه هَذَا الخَبَر وَاكِد = What, is this news accurate?",,صَحِيْح,,
taqdūm,تَقْدُوم,,"Advance, n. (of money)",Jayakar 1889b,11,,,,,,,,,"A. from تَقَدَّم in the sense of preceding, advancing.",,عَرُبوُن,,
fizʕān,فِزْعَان,,"Afraid, a.",Jayakar 1889b,12,,,,,,,,,A. from فَزِع = He feared.,,خَايِف,,
ʕuqb,"عُقْب
خِلَاف",,"After, prep. And ad.",Jayakar 1889b,13,,,,,,,,,1. A. عَقِب = after 2. A. خَلْف = after.,,بَعْد,,
ḫilāf,"عُقْب
خِلَاف",,"After, prep. And ad.",Jayakar 1889b,14,,,,,,,,,1. A. عَقِب = after 2. A. خَلْف = after.,,بَعْد,,
ġādī,غَادِي,,"Ahead, ad.",Jayakar 1889b,15,,,,,,,,,"A. غَادِي = a goer out at morning, i. e. early.",,قُدَّام,,
farīḍa,فَرِيضَة,,"Allowance, n. (pay, pension)",Jayakar 1889b,16,,,,,,,,,A. فَرِيضَة = anything appointed or apportioned.,فَرْايِض,مُرَتّبَة,,
nūbah,نُوْبَة,,"Also, ad.",Jayakar 1889b,17,,,,,,,,,"A. نَوْبَة = a turn, time. نُوْبَة جَاء فُلَان = So and so also came.",,اَيْضًا,,
dūm dūm [dōm dōm?],دُوْم دُوْم,,"Always, ad.",Jayakar 1889b,18,,,,,,,,,"A. دَوْم = Continuous, lasting.",,دَايمًا,,
maynnah [mēnnah?],مَيْنَّة,,Ammunition,Jayakar 1889b,19,,,,,,,,,,,زَوَادَة الحَرْب,,
maduwar [madwar?] | madāwir,مَدُوَر الرِّجْل,,Ankle,Jayakar 1889b,20,,,,,,,,,A. from دَار in the sense of turning round.,مَدَاوِر,كعب,,
ṭīz | ṭuyūz,طِيز,,Anus,Jayakar 1889b,21,,,,,,,,,P. تِيز = a fart.,طُيُوز,مَقْعَد,,
šiyafah [šīfah?],شِيَفة,,Appearance,Jayakar 1889b,22,,,,,,,,,A. from شَاف = He saw. كَيْف شيفَتْه = What is its appearance like?,,صُورَة,,
"falaǧ | aflāǧ, flāǧā",فَلَج,,Aqueduct,Jayakar 1889b,23,,,,,,,,,A. فَلَج = a brook. In the case of a فلج there is a natural flow of water from a spring.,اَفْلَاج or فِلَاجَا,جَدْوَل,,
ġayz [ġēz?] | ġuyūz,غَيْز,,Aqueduct (small),Jayakar 1889b,24,,,,,,,,,A. probably from غَيْض = sinking into the ground (water). This word is also employed to express a small channel for conveying dirty water from houses.,غُيوُز,جَدْوَل,,
ʕāmid | ʕumidd,عَامِد,,Aqueduct (for artificial irrigation),Jayakar 1889b,25,,,,,,,,,"A. عَامِد = That which pursues, makes for, or supports.",عُمِّد,جَدْوَل,,
sāqīyah | sawāqī,سَاقِيَة,,Aqueduct (for artificial irrigation) (small),Jayakar 1889b,26,,,,,,,,,A. سَاقِية = a canal. The سَوَاقِي are fed by an عَامِد.,سَوَاقِي,جَدْوَل,,
ḥāz | yaḥūz,حَاز,,"Arbitrate, v. (Adjudicate)",Jayakar 1889b,27,,,,,,,,,A. حاز in the sense of taking land and marking its boundaries. رَاعِي الَحْوز حاز بَيْنَنَا the umpire arbitrated between us.,يَحوُز,حَكَم,,
faraʕ,"فَرَع
حُوْز",,Arbitration,Jayakar 1889b,28,,,,,,,,,1 A. فَرْع = Derivative institute of the law. 2. A. See Arbitrate. بُولَك خُذمِنِّي بِالشَّرْع اَو بِالْفَرْع = Take from me your right either by (religious) law or by arbitration.,,حْكْم عُرْفِي,,
ḥūz,"فَرَع
حُوْز",,Arbitration,Jayakar 1889b,29,,,,,,,,,1 A. فَرْع = Derivative institute of the law. 2. A. See Arbitrate. بُولَك خُذمِنِّي بِالشَّرْع اَو بِالْفَرْع = Take from me your right either by (religious) law or by arbitration.,,حْكْم عُرْفِي,,
ḥāff,حَافّ,,"Arid, a. (dry)",Jayakar 1889b,30,,,,,,,,,"A. حَافّ = Dry (cough), or from بلد احْيف = a district or the like upon which rain has fallen.",,يَابِس,,
dārā | yadārī,دَارَى,,"Ashamed, to be",Jayakar 1889b,31,,,,,,,,,"A. دَارَى = in the sense of being fearful or cautious, the Omanee being evidently an extended sense. اَنَا اَعْطَيْتُه لَاجَل دَآريْت مِنُّه = I gave him because I felt ashamed to refuse him.",يَدَارِي,خَجَل,,
našad | yinšid,نَشَد,,"Ask, v. t.",Jayakar 1889b,32,,,,,,,,,"A. نَشَد = He asked, inquired. نِشْدُه مُواسْمُه = Ask him what his name is.",يِنْشِد,سَأل,,
ġāfī,غَافِي,,Asleep,Jayakar 1889b,33,,,,,,,,,A. from اَغْفَى = He slept.,,رَاقِد,,
mufādāh,"مُفَادَاة
حَرَاج",,Auction,Jayakar 1889b,34,,,,,,,,,"A. مُنَادَاة = a proclamation, convoking. 2 A. From هَرَاج. The Omanees make a distinction between حَرَاج* and مُنَادَاة, the former word being restricted to the sale by auction of property belonging to deceased persons only.",,هَرَاج,,
ḥarāǧ,"مُفَادَاة
حَرَاج",,Auction,Jayakar 1889b,35,,,,,,,,,"A. مُنَادَاة = a proclamation, convoking. 2 A. From هَرَاج. The Omanees make a distinction between حَرَاج* and مُنَادَاة, the former word being restricted to the sale by auction of property belonging to deceased persons only.",,هَرَاج,,
hawwar | yahawwar,هَوَّر,,"Augment, v. t.",Jayakar 1889b,36,,,,,,,,,"A. Probably from هَوْر = a flock, especially when numerous and tumbling one over another. لَاتَهَوَّر الكَلام = Do not talk much.",يَهَوَّر,كَثَّر,,
barṣīṣ,بَرْصِيص,,Avaricious,Jayakar 1889b,37,,,,,,,,,Compare P. بَرْش = Desire.,,بَخِيل,,
wāʕī,"وَاعِي
دَارِي",,"Awake, a.",Jayakar 1889b,38,,,,,,,,,"1 A. وَاعِي = attentive, on one’s guard. 2 A دَارِي = knowing, defending. As these actions cannot be performed unless one is in a wakeful state, the Omanee sense is easily traced. فُلَان وَاعِي اَوغَافِي = Is so and so awake or asleep? هُودَارِي = He is awake.",,مُنْتَبَه,,
dārī,"وَاعِي
دَارِي",,"Awake, a.",Jayakar 1889b,39,,,,,,,,,"1 A. وَاعِي = attentive, on one’s guard. 2 A دَارِي = knowing, defending. As these actions cannot be performed unless one is in a wakeful state, the Omanee sense is easily traced. فُلَان وَاعِي اَوغَافِي = Is so and so awake or asleep? هُودَارِي = He is awake.",,مُنْتَبَه,,
warraqa [warraq?] | yuwarraq,وَرَّقَ,,"Awake, v. t.",Jayakar 1889b,40,,,,,,,,,A. مُورَّق - وَرَّق = kept awake.,يُوَرَّق,يَقَّظَ,,
ḫaṣīn | ḫaṣin,خَصِين,,Axe,Jayakar 1889b,41,,,,,,,,,A. خَصِين = a small axe.,خَصِن,فأس,,
šayn [šēn],شَيْن,,"Bad, a.",Jayakar 1889b,42,,,,,,,,,"A. شَيْن = Disgraceful, ugly.",,رَدِي,,
ṣurrah | ṣarar,صُرَّة,,"Bag, n. (large)",Jayakar 1889b,43,,,,,,,,,A. صُرّة = a purse.,صَرَر,,,
kīsah | kiyas,كِيسَة,,"Bag, n. (small) as a purse",Jayakar 1889b,44,,,,,,,,,A. كِيس = a purse.,كِيَس,,,
qašār,قَشَار,,"Baggage, n.",Jayakar 1889b,45,,,,,,,,,"A. قَشْر = a garment, apparel.",,أسْبَاب,,
gulūlah | gulūl,جُلُولَة,,Ball (cannon),Jayakar 1889b,46,,,,,,,,,P. كَلُولَه = a bullet.,جُلُول,كُلَّة,,
ṭaʕān,طَعَان,,"Ballast, n.",Jayakar 1889b,47,,,,,,,,,,,صَابُورَة,,
maḥassan | maḥāsinah,مَحَسَّن,,Barber,Jayakar 1889b,48,,,,,,,,,From Omanee A. حَسَّن he shaved.,مَحَاسِنَة,حَلَّاق,,
mizmāh | mazāmī,مِزْمَاة,,Basket,Jayakar 1889b,49,,,,,,,,,"Probably from A. زمّ in the sense of filling. 
These four words are here given in order of size, the largest being called a مِزْماة and the smallest a زَنْبِيل.",مَزَامِي,زَنْبِيل,,
qafīr | qufrān,قَفِير,,Basket,Jayakar 1889b,50,,,,,,,,,"قَفِير = a basket.
These four words are here given in order of size, the largest being called a مِزْماة and the smallest a زَنْبِيل.",قُفْرَان,زَنْبِيل,,
mabdaʕ | mabāduʕ,مَبْدَع,,Basket,Jayakar 1889b,51,,,,,,,,,"From A. بِدْع = a novelty or anything new.
These four words are here given in order of size, the largest being called a مِزْماة and the smallest a زَنْبِيل.",مَبَادُع,زَنْبِيل,,
zanbīl | zanābīl,زَنْبِيل,,Basket,Jayakar 1889b,52,,,,,,,,,"زنْبِيل = a basket. 
These four words are here given in order of size, the largest being called a مِزْماة and the smallest a زَنْبِيل.",زَنَابِيل,زَنْبِيل,,
mīšān | miyāšīn,مِيشَان,,Basket (for carrying dates in),Jayakar 1889b,53,,,,,,,,,,مِيَاشِين,,,
naġal | nuġūl,نَغَل,,Bastard,Jayakar 1889b,54,,,,,,,,,A. نَغِل = a bastard.,نُغُول,اِبْن زِنآء,,
ġaban | ġubūn,غَبَن,,Bastard,Jayakar 1889b,55,,,,,,,,,"from A. غبن = weak or deficient, a bastard being weak or deficient in his pedigree.",غُبُون,اِبْن زِنآء,,
gadal | gdālā,جَدَل,,"Bat, n. (animal)",Jayakar 1889b,56,,,,,,,,,[entry corrected from Part 1],جدَالَا,خُفَّاش,,
tasabbaḥ | yatsabbaḥ,تَسَبَّح,,"Bathe, v. t.",Jayakar 1889b,57,,,,,,,,,From A. سَبَح = he swam. هُو بَعْد مَا مُتَسَبَّح. He has not bathed.,يَتْسَبَّح,إغْتَسَل,,
garyud [garīd?] | gurd,جَرِيُد,,"Beam, n. (of a house)",Jayakar 1889b,58,,,,,,,,,"A. جَرِيد = a palm branch stripped of its leaves; a tree despoiled of its branches, leaves, and bark.",جُرْد,عَارِضَة,,
"ʔākrat, karat",كَرَت or آكْرَت,,"Beardless, a.",Jayakar 1889b,59,,,,,,,,,P. كَرْتَلَه = a beardless and perverse youth.,,آمْرَد,,
daqq | yaduqq,دَقّ,,"Beat, v. t.",Jayakar 1889b,60,,,,,,,,,A. دَقّ = he beat (clothes in washing). اَنَامَا دَقَّيِْتُك = I did not beat you.,يَدُقّ,ضَرَب,,
ġāwī,"غَاوِي
شَرُه",,"Beautiful, a.",Jayakar 1889b,61,,,,,,,,,"1 A. غَاوِي = that which leads astray or causes to err. 2 A. شَرِيّ = choice, excellent.",,جَمِيل,,
šarruh [?],"غَاوِي
شَرُه",,"Beautiful, a.",Jayakar 1889b,62,,,,,,,,,"1 A. غَاوِي = that which leads astray or causes to err. 2 A. شَرِيّ = choice, excellent.",,جَمِيل,,
ġawā,غَوَى,,Beauty,Jayakar 1889b,63,,,,,,,,,A. See beautiful.,,جَمَال,,
"mawā | yamwī, yanwī",مَوَا,,"Beckon, v. t.",Jayakar 1889b,64,,,,,,,,,"from A. اَوْمَاء = he beckoned, by elision of initial ا and transposition of م and و. 
فُلَان يَنْوِي لِي = so and so beckons me.",يَمْوِي or يَنْوِي,اَوْمَاء,,
istawā | yastawī,اِسْتَوَى,,"Become, v. t.",Jayakar 1889b,65,,,,,,,,,from Omanee A. سَوَّى = he made or did.,يَسْتَوِي,صَارَ,,
kātilī | kawātilī,كَاتِلِي,,Bedstead,Jayakar 1889b,66,,,,,,,,,"H. كَهاٿ. Guj. كهَاٿْتُوْ = a bedstead.
In a كُاَتِلىِ the side pieces are fixed into the legs which are straight; in a شُبْرِيَّة the top pieces are separate and fixed over the legs which stand at an angle, whilst stand the third kind is a large كَاِتِلي which a curtain-frame and curtain.",كَوَاتِلِي,سَرير، تَخْت,,
šubrīyah | šubārī,شُبْرِيَّة,,Bedstead,Jayakar 1889b,67,,,,,,,,,"P. چارپائى = a bedstead.
In a كُاَتِلىِ the side pieces are fixed into the legs which are straight; in a شُبْرِيَّة the top pieces are separate and fixed over the legs which stand at an angle, whilst stand the third kind is a large كَاِتِلي which a curtain-frame and curtain.",شُبَارِي,سَرير، تَخْت,,
samādār | samādariyāt,سَمَادَار,,Bedstead,Jayakar 1889b,68,,,,,,,,,"From A. سَمَاء = a canopy, and P. دَار = possessed. 
In a كُاَتِلىِ the side pieces are fixed into the legs which are straight; in a شُبْرِيَّة the top pieces are separate and fixed over the legs which stand at an angle, whilst stand the third kind is a large كَاِتِلي which a curtain-frame and curtain.",سَمَادَرِيَات,سَرير، تَخْت,,
milhāb | milāhīb,مِلْهَاب,,Bellows,Jayakar 1889b,69,,,,,,,,,From A. لَهَب = he kindled.,مِلَاهِيب,مِنْفَخ,,
ḫāṭar | yaḫāṭar,خَاطَر,,"Bet, v. t. (to wager)",Jayakar 1889b,70,,,,,,,,,from A. خَاطَر = he laid a bet. هُويَرْغَي يَخَاطَرْني = he wants to lay a bet with me.,يَخَاطَر,شَارَط,,
muḫāṭirah,مُخَاطِرة,,"Bet, n.",Jayakar 1889b,71,,,,,,,,,from A. خَاطَر = he laid a bet. هُويَرْغَي يَخَاطَرْني = he wants to lay a bet with me.,,مَرَاهَنة,,
ahwan,اَهْوَن,,"Better, a. (in health)",Jayakar 1889b,72,,,,,,,,,"A. اَهْوَن = lighter, easier. مُوجِنْسَك اَلْيُوم اَهْوَنِ = how are you to-day, better?",,اَصْحّ مِزَاجًا,,
zāban | yazāban,زَابَن,,"Bid, v. t. (to offer a higher price at an auction)",Jayakar 1889b,73,,,,,,,,,"from A. زَابن = he contended in pushing, the Omanee sense being derived from the sense of pushing on the price. وِيَامِن الزَّبُون = whose is the last bid?",يَزابَن,,,
zabūn,زَبُون,,"Bid, n.",Jayakar 1889b,74,,,,,,,,,"from A. زَابن = he contended in pushing, the Omanee sense being derived from the sense of pushing on the price. وِيَامِن الزَّبُون = whose is the last bid?",,اِعْرَاض سِعرٍ,,
ṭārqah | ṭawāriq,طَارقة,,"Bier, n.",Jayakar 1889b,75,,,,,,,,,"A. طَِارقة = (dialect of El-Yaman) a small couch just sufficient for one person. It is used to signify a bier, both with and without a corpse.",طَوَارِق,حِنَازَه,,
ʕūd [ʕōd],عُوْد,,"Big, a.",Jayakar 1889b,76,,,,,,,,,"A. from عَوْد = advanced in age, old. اَنَاسِرْت بَاب العُوْد = I went to the big gate.",,كَبِير,,
kadaʕ | yikdaʕ,كَدَع,,"Bite, v. t.",Jayakar 1889b,77,,,,,,,,,from A. كدم = he bit or seized with the fore-teeth.,يِكْدَع,عَصّ,,
farṣaḫ | yafarṣaḫ,فَرْصَخ,,"Blister, v.t.",Jayakar 1889b,78,,,,s > ṣ,,,,,"لَاتَسِيرفى الشَّمْس تَفَرْسَخَك 
= do not go in the sun, it will blister or burn you.",يَفَرْصَخ,,,
farṣāḫ,فَرْصَاخ,,"Blister, n.",Jayakar 1889b,79,,,,s > ṣ,,,,,"لَاتَسِيرفى الشَّمْس تَفَرْسَخَك 
= do not go in the sun, it will blister or burn you.",,مَجْل,,
lahwaz | yalahwaz,لَهْوز,,"Blot, v. t. (to stain)",Jayakar 1889b,80,,,,,,,,,"مَال مِن هَذَا الَكِتَاب اَلْمُتَلاهْوَز 
= whose is this blotted book?",يَلَهْوَز,رَسَّخ,,
māšwwah [māšuwah] | mawāšī,مَاشْوَّة,,Boat,Jayakar 1889b,81,,,,,,,,,H. مَچْوَا = a boat.,مَوَاشِي,قَارِب,,
dūlah [dōlah?] | diwal,دُوْلَة,,"Body, n. (of troops)",Jayakar 1889b,82,,,,,,,,,Comp. P. دُهل = a drum. الَّسِيدِ يَدَوَّل عَرَب Sayyid is calling in men.,دِوَل,جُنْد,,
ṯawwar | yaṯawwar,ثَوَّر,,"Boil, v. t.",Jayakar 1889b,83,,,,,,,,,A. ثَوَّر = in the sense of rage boiling or more bably from فَوَّر by substitution of ث for ف. [by hypercorrection],يَثَوَّر,فَوَّر,,
marǧal | marāǧil,مَرْجَل,,"Boiler, n.",Jayakar 1889b,84,,,,,,,,,A. مِرْجَل = a large cauldron.,مَرَاجِل,قِدْر,,
nafʕ,نَفْع,,"Boon, n. (a gift)",Jayakar 1889b,85,,,,,,,,,A. نَفع = profit.,,عَطِيَة,,
istaʕraq | yastaʕraq,اِسْتَعْرَق,,"Borrow, v. t.",Jayakar 1889b,86,,,,,,,,,"Probably from A. اِسْتَعَار, the final letter ق being an additional one, or see lend.",يَسْتَعْرَق,اِسْتَعَار,,
ġaršah | ġaraš,غَرْشَة,,"Bottle, n.",Jayakar 1889b,87,,,,,,,,,,غَرَش,قِنِّينَة,,
qāʕah | qiʕān [qīʕān],قَاعَة,,"Bottom, n.",Jayakar 1889b,88,,,,,,,,,A. قَعَر = bottom.,قِعَان,قَعَر,,
"maṣrān, maṣrūn | maṣārīn",مَصْرَان or مَصْرُون,,Bowel,Jayakar 1889b,89,,,,,,,,,from A. مَصَارّ = intestines.,مَصَارِين,أمْعآء,,
mallah,مَلَّة,,"Bowl, n. (large)",Jayakar 1889b,90,,,,,,,,,from A. مَلَاة in the sense of filling.,مِلَال,,,
ṣigurgah | ṣagārig,صِجُرْجَة,,"Bowl, n. (small)",Jayakar 1889b,91,,,,s > ṣ?,,,,,from A. سَجَر = he filled. This word is also sometimes spelt with س.,صَجَارج,,,
saḥḥārah | saḥāḥir,سَحَّارَة,,"Box, n. (large)",Jayakar 1889b,92,,,,,,,,,,سَحَاحِر,صَنْدُوق,,
mandūs | manādīs,مَنْدُوس,,"Box, n. (small)",Jayakar 1889b,93,,,,,,,,,from Omanee A. دَسّ = he hid or concealed.,مَنَاديس,صَنْدُوق,,
qūṭī | qawāṭī,"قُوْطِي
مُقَفَّل",,"Box, n. (such as a snuff-box)",Jayakar 1889b,94,,,,,,,,,1 P. قُوتِي = a small box. 2 from A. قفل = he locked.,"قَوَاطِي
مُقَافِيل",حُقَّة عُلْبَة,,
muqaffal | muqāfīl,"قُوْطِي
مُقَفَّل",,"Box, n. (such as a snuff-box)",Jayakar 1889b,95,,,,,,,,,1 P. قُوتِي = a small box. 2 from A. قفل = he locked.,"قَوَاطِي
مُقَافِيل",حُقَّة عُلْبَة,,
muluġ,مُلُغ,,"Brackish, a.",Jayakar 1889b,96,,,,,,,,,,,مَلِيح مَاج,,
ʕūd | ʕidān [ʕīdān],عُود,,Branch,Jayakar 1889b,97,,,,,,,,,A. عوُد = a branch.,عِدَان,فرع,,
šabah,شَبَه,,Brass (metal),Jayakar 1889b,98,,,,,,,,,A. شِبْه = brass.,,صُفْر,,
ṣaraydān [ṣarēdān] | ṣaraydānīyāt,صَرَيْدَان,,Brazier,Jayakar 1889b,99,,,,s > ṣ,,,,,from P. سِره = fire and دَان = a holder.,صَرَيْدَانِيَّات,كَانُون,,
naqūḍ ar-rīq,"نَقُوض الرَّيق
اِسْتَفْتَاح",,Breakfast,Jayakar 1889b,100,,,,,,,,,"1. A. from نَقْض = breaking, undoing, and A. ريق = fasting. 2 A. اِسْتَفتَاح = beginning, commencing.",,فُطُور,,
istaftāḥ,"نَقُوض الرَّيق
اِسْتَفْتَاح",,Breakfast,Jayakar 1889b,101,,,,,,,,,"1. A. from نَقْض = breaking, undoing, and A. ريق = fasting. 2 A. اِسْتَفتَاح = beginning, commencing.",,فُطُور,,
nūn | nawān,نُون,,"Breast, n. (mamma)",Jayakar 1889b,102,,,,,,,,,probably from its resemblance to the A. Letter ن.,نَوَان,نَهْد,,
nafīs,نَفِيس,,"Broad, n. (wide)",Jayakar 1889b,103,,,,,,,,,"from Omanee A. نَفَس = space, room.",,عَريض,,
karak | yikrik,كَرَك,,"Brood, v. i. (to sit upon an egg)",Jayakar 1889b,104,,,,,,,,,P. كرك = a domestic fowl. هَذِى اَلدِّجَاجَة كَارِكَة or = هَذِى الطَّيْرَة كَارِكَة = This fowl is brooding.,يِكْرِك,حَضَن,,
miḫammah | muḫām,"مِخَمَّة
مِجْمَعَة",,Broom,Jayakar 1889b,105,,,,,,,,,1. A. مَخَمَّة = a broom. 2 from Omanee A. حَمَع* = he swept.,"مُخَام
مُجَامُع",مِكْنَسَة,,
migmaʕah | mugāmuʕ,"مِخَمَّة
مِجْمَعَة",,Broom,Jayakar 1889b,106,,,,ǧ > g,,,,,1. A. مَخَمَّة = a broom. 2 from Omanee A. حَمَع* = he swept.,"مُخَام
مُجَامُع",مِكْنَسَة,,
baggām,بَجَّام,,"Bud, n. (of a flower)",Jayakar 1889b,107,,,,,,,,,A. from بَجَم = in the sense of being contracted.,,,,
makkū,مَكُّو,,"Bug, n.",Jayakar 1889b,108,,,,,,,,,,,بَقَّ,,
barġūm | barāġīm,بَرْغُوم,,"Bugle, n.",Jayakar 1889b,109,,,,,,,,,,بَرَاغِيم,بُوق نَفِير,,
"ʕisqah | ʕisq, ʕasaq",عِسْقَة,,"Bunch, n.",Jayakar 1889b,110,,,,,,,,,A. عسق = a cluster of bad dates. This word is employed to express a bunch of dates or plantains.,عَسَق or عِسْق,عَرْجُون,,
dahānah,دَهَانَة,,Butter,Jayakar 1889b,111,,,,,,,,,A. دُهن = oil.,,زُبْد,,
